frame# 1    1822944988 []
frame# 16   1822945488 [(701, 330, 1, 4), (721, 336, 2, 5), (656, 338, 1, 4), (676, 330, 0, 3), (640, 351, 2, 5), (738, 352, 2, 5), (630, 374, 2, 5), (746, 374, 2, 5), (748, 397, 1, 5), (628, 401, 0, 3), (740, 420, 1, 5), (639, 419, 2, 6), (658, 438, 1, 4), (725, 438, 1, 4), (677, 442, 2, 5), (703, 446, 1, 4)]
frame# 17   1822945522 [(697, 333, 1, 4), (672, 336, 0, 4), (717, 342, 2, 4), (652, 343, 1, 4), (635, 359, 2, 6), (734, 358, 2, 5), (627, 379, 2, 6), (743, 379, 2, 6), (625, 406, 0, 4), (744, 405, 1, 4), (636, 424, 2, 5), (736, 426, 1, 5), (720, 441, 1, 4), (655, 442, 1, 4), (674, 449, 2, 6), (700, 450, 1, 5)]
frame# 18   1822945555 [(692, 340, 1, 4), (668, 342, 0, 4), (713, 347, 2, 6), (648, 350, 1, 4), (631, 363, 2, 6), (730, 363, 2, 6), (740, 384, 2, 5), (622, 386, 2, 5), (741, 410, 1, 4), (621, 412, 0, 4), (732, 430, 1, 5), (632, 430, 2, 5), (716, 448, 1, 5), (651, 449, 1, 4), (670, 454, 2, 6), (696, 458, 1, 4)]
frame# 19   1822945588 [(688, 346, 1, 4), (664, 346, 0, 4), (709, 352, 2, 5), (644, 355, 1, 4), (727, 368, 2, 5), (627, 371, 2, 5), (736, 388, 2, 4), (619, 391, 2, 5), (738, 415, 1, 4), (617, 418, 0, 3), (629, 436, 2, 6), (729, 437, 1, 5), (647, 455, 1, 4), (714, 455, 1, 4), (667, 460, 2, 6), (692, 462, 1, 4)]
frame# 20   1822945622 [(684, 350, 1, 4), (660, 353, 0, 4), (706, 359, 2, 5), (641, 361, 1, 4), (624, 376, 2, 5), (722, 375, 2, 5), (732, 396, 2, 6), (615, 396, 2, 4), (735, 420, 1, 4), (616, 424, 0, 4), (625, 443, 1, 5), (727, 443, 1, 4), (711, 458, 1, 5), (644, 462, 1, 4), (664, 467, 2, 6), (688, 460, 2, 1), (690, 469, 1, 4)]
frame# 21   1822945655 [(682, 356, 1, 5), (656, 358, 0, 4), (701, 363, 2, 6), (639, 367, 1, 3), (719, 379, 2, 5), (619, 382, 2, 5), (729, 399, 2, 5), (612, 403, 2, 5), (733, 427, 1, 4), (611, 430, 0, 4), (724, 446, 1, 5), (623, 447, 2, 6), (708, 464, 1, 5), (640, 466, 1, 4), (661, 471, 2, 5), (687, 475, 1, 5)]
frame# 22   1822945688 [(653, 356, 0, 2), (679, 361, 1, 5), (699, 367, 2, 6), (654, 366, 0, 3), (636, 370, 1, 4), (716, 383, 2, 6), (618, 387, 2, 6), (726, 404, 2, 6), (609, 408, 2, 6), (728, 430, 1, 4), (608, 436, 0, 4), (720, 450, 1, 5), (620, 454, 2, 5), (639, 471, 1, 4), (705, 469, 1, 4), (658, 478, 2, 6), (684, 478, 1, 4)]
frame# 23   1822945722 [(676, 367, 1, 4), (696, 372, 2, 6), (651, 368, 0, 4), (631, 376, 1, 4), (713, 387, 2, 5), (614, 391, 2, 6), (723, 408, 2, 5), (606, 413, 2, 6), (726, 434, 1, 4), (607, 440, 0, 4), (719, 455, 1, 4), (617, 458, 2, 5), (703, 474, 1, 5), (636, 476, 1, 4), (682, 482, 1, 4), (656, 481, 2, 6)]
frame# 24   1822945755 [(673, 369, 1, 4), (694, 375, 2, 5), (648, 371, 0, 4), (628, 381, 1, 4), (711, 391, 2, 5), (611, 395, 2, 5), (721, 411, 2, 6), (603, 418, 2, 5), (724, 437, 1, 4), (604, 444, 0, 4), (716, 458, 1, 5), (615, 462, 2, 5), (632, 472, 2, 1), (700, 477, 1, 5), (634, 481, 1, 4), (654, 485, 2, 6), (681, 486, 1, 4)]
frame# 25   1822945788 [(715, 462, 1, 5), (612, 466, 2, 5), (699, 481, 1, 5), (652, 489, 2, 6), (632, 484, 1, 4), (678, 490, 1, 4), (671, 373, 1, 5), (692, 379, 2, 5), (646, 375, 0, 4), (627, 384, 1, 4), (708, 395, 2, 5), (609, 398, 2, 5), (719, 415, 2, 5), (601, 421, 2, 5), (722, 442, 1, 4), (601, 448, 0, 4)]
frame# 26   1822945822 [(668, 377, 1, 5), (689, 383, 2, 5), (644, 378, 0, 4), (624, 387, 1, 4), (706, 398, 2, 5), (607, 403, 2, 6), (717, 419, 2, 6), (600, 424, 2, 6), (720, 445, 1, 5), (600, 452, 0, 4), (712, 466, 1, 4), (612, 470, 2, 5), (697, 484, 1, 5), (631, 487, 1, 4), (650, 492, 2, 6), (677, 495, 1, 4)]
frame# 27   1822945855 [(667, 379, 1, 5), (640, 380, 0, 3), (686, 387, 2, 5), (623, 391, 1, 4), (704, 402, 2, 5), (605, 407, 2, 5), (714, 423, 2, 6), (598, 427, 2, 5), (719, 446, 1, 4), (598, 457, 0, 4), (711, 470, 1, 5), (608, 472, 2, 5), (696, 487, 1, 5), (628, 490, 1, 4), (649, 495, 2, 6), (674, 499, 1, 4)]
frame# 28   1822945888 [(664, 382, 1, 4), (640, 385, 0, 4), (685, 389, 2, 6), (620, 394, 1, 4), (704, 404, 2, 5), (603, 409, 2, 4), (713, 426, 2, 6), (595, 431, 2, 6), (716, 450, 1, 4), (596, 457, 0, 4), (708, 472, 1, 5), (608, 475, 2, 5), (693, 490, 1, 4), (627, 494, 1, 4), (646, 499, 2, 6), (672, 499, 1, 5)]
frame# 29   1822945922 [(663, 386, 1, 5), (683, 391, 2, 5), (636, 390, 0, 3), (619, 397, 1, 5), (701, 407, 2, 5), (602, 412, 2, 6), (712, 427, 2, 5), (594, 435, 2, 5), (715, 453, 1, 5), (595, 460, 0, 4), (708, 475, 1, 5), (605, 479, 2, 5), (692, 493, 1, 5), (624, 497, 1, 5), (672, 502, 1, 4), (645, 501, 2, 5)]
frame# 30   1822945955 [(660, 389, 1, 4), (682, 395, 2, 5), (636, 389, 0, 4), (616, 400, 1, 4), (700, 410, 2, 4), (599, 415, 2, 6), (591, 438, 2, 5), (710, 431, 2, 5), (712, 455, 1, 4), (592, 465, 0, 3), (705, 478, 1, 5), (604, 482, 2, 5), (691, 496, 1, 4), (624, 499, 1, 4), (644, 504, 2, 6), (669, 506, 1, 4)]
frame# 31   1822945988 [(660, 389, 1, 5), (633, 392, 0, 4), (680, 397, 2, 5), (616, 402, 1, 4), (697, 412, 2, 5), (598, 419, 2, 6), (708, 433, 2, 5), (590, 439, 2, 5), (712, 458, 1, 5), (591, 467, 0, 4), (704, 481, 1, 5), (603, 485, 2, 5), (688, 499, 1, 4), (621, 502, 1, 4), (641, 507, 2, 6), (668, 509, 1, 5)]
frame# 32   1822946022 [(632, 397, 0, 4), (677, 399, 2, 6), (658, 394, 1, 3), (613, 405, 1, 4), (695, 415, 2, 6), (595, 422, 2, 5), (706, 435, 2, 6), (589, 443, 2, 5), (710, 462, 1, 4), (588, 470, 0, 4), (703, 485, 1, 5), (600, 488, 2, 5), (688, 502, 1, 5), (621, 506, 1, 4), (640, 511, 2, 6), (666, 513, 1, 4)]
frame# 33   1822946055 [(656, 397, 1, 4), (631, 400, 0, 4), (676, 403, 2, 6), (612, 409, 1, 5), (694, 419, 2, 6), (594, 426, 2, 6), (704, 439, 2, 6), (587, 447, 2, 5), (708, 465, 1, 5), (587, 474, 0, 4), (700, 486, 1, 5), (600, 491, 2, 5), (685, 506, 1, 4), (619, 511, 1, 4), (638, 514, 2, 6), (664, 516, 1, 5)]
frame# 34   1822946088 [(654, 401, 1, 4), (674, 407, 2, 6), (628, 404, 0, 4), (610, 413, 1, 4), (692, 423, 2, 5), (592, 429, 2, 6), (702, 443, 2, 5), (585, 451, 2, 5), (706, 469, 1, 4), (583, 478, 0, 4), (700, 491, 1, 5), (597, 495, 2, 5), (684, 510, 1, 5), (616, 514, 1, 4), (637, 518, 2, 6), (664, 518, 1, 4)]
frame# 35   1822946122 [(652, 405, 1, 4), (627, 408, 0, 4), (673, 411, 2, 6), (608, 417, 1, 5), (690, 427, 2, 6), (591, 434, 2, 5), (701, 447, 2, 6), (583, 455, 2, 5), (704, 473, 1, 5), (584, 481, 0, 4), (696, 494, 1, 5), (596, 499, 2, 5), (682, 514, 1, 4), (614, 519, 1, 4), (635, 523, 2, 6), (660, 522, 1, 4)]
frame# 36   1822946155 [(650, 410, 1, 4), (624, 413, 0, 3), (671, 415, 2, 6), (606, 422, 1, 4), (689, 431, 2, 5), (590, 437, 2, 5), (699, 451, 2, 5), (581, 459, 2, 5), (703, 477, 1, 5), (582, 486, 0, 4), (696, 498, 1, 4), (594, 503, 2, 5), (680, 517, 1, 5), (612, 522, 1, 4), (634, 526, 2, 6), (660, 528, 1, 5)]
frame# 37   1822946188 [(649, 414, 1, 4), (624, 416, 0, 4), (669, 418, 2, 5), (604, 426, 1, 4), (687, 435, 2, 5), (587, 442, 2, 5), (697, 455, 2, 5), (580, 463, 2, 5), (701, 482, 1, 4), (581, 490, 0, 4), (695, 503, 1, 5), (592, 508, 2, 5), (679, 521, 1, 5), (612, 527, 1, 4), (633, 530, 2, 5), (656, 524, 2, 1), (659, 532, 1, 3)]
frame# 38   1822946222 [(579, 495, 0, 4), (692, 507, 1, 5), (592, 512, 2, 5), (677, 526, 1, 5), (612, 530, 1, 4), (631, 535, 2, 6), (656, 536, 1, 4), (648, 419, 1, 4), (622, 420, 0, 4), (667, 423, 2, 5), (605, 430, 1, 4), (685, 439, 2, 6), (586, 445, 2, 6), (696, 459, 2, 6), (579, 467, 2, 5), (700, 486, 1, 5)]
frame# 39   1822946255 [(619, 425, 0, 4), (666, 427, 2, 6), (645, 422, 1, 3), (602, 434, 1, 3), (683, 443, 2, 5), (584, 450, 2, 6), (694, 463, 2, 6), (577, 471, 2, 5), (699, 491, 1, 4), (576, 501, 0, 3), (692, 513, 1, 5), (589, 518, 2, 6), (608, 534, 1, 4), (676, 531, 1, 4), (629, 539, 2, 6), (655, 541, 1, 5)]
frame# 40   1822946288 [(644, 425, 1, 4), (664, 433, 2, 6), (600, 439, 1, 5), (620, 430, 0, 4), (683, 447, 2, 5), (583, 454, 2, 5), (693, 469, 2, 6), (575, 477, 2, 5), (696, 494, 1, 5), (572, 502, 0, 1), (578, 506, 0, 3), (689, 518, 1, 4), (587, 523, 2, 6), (675, 537, 1, 5), (607, 541, 1, 5), (652, 546, 1, 4), (628, 544, 2, 5)]
