UNIX : 69.960833 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 70.961952 ms, RTT : 0.000987, Camera Timestamp : 66 ms, Blob info : []
UNIX : 71.960926 ms, RTT : 0.000984, Camera Timestamp : 66 ms, Blob info : []
UNIX : 72.960854 ms, RTT : 0.000986, Camera Timestamp : 66 ms, Blob info : []
UNIX : 73.959827 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 74.961901 ms, RTT : 0.000988, Camera Timestamp : 66 ms, Blob info : []
UNIX : 75.965881 ms, RTT : 0.000990, Camera Timestamp : 66 ms, Blob info : []
UNIX : 76.961040 ms, RTT : 0.000981, Camera Timestamp : 66 ms, Blob info : []
UNIX : 77.960968 ms, RTT : 0.000986, Camera Timestamp : 66 ms, Blob info : []
UNIX : 78.960896 ms, RTT : 0.000986, Camera Timestamp : 66 ms, Blob info : []
UNIX : 79.959869 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 80.961943 ms, RTT : 0.000987, Camera Timestamp : 66 ms, Blob info : []
UNIX : 81.959009 ms, RTT : 0.000983, Camera Timestamp : 66 ms, Blob info : []
UNIX : 82.962990 ms, RTT : 0.000989, Camera Timestamp : 66 ms, Blob info : []
UNIX : 83.961010 ms, RTT : 0.000984, Camera Timestamp : 66 ms, Blob info : []
UNIX : 84.959984 ms, RTT : 0.000984, Camera Timestamp : 66 ms, Blob info : []
UNIX : 85.961819 ms, RTT : 0.000988, Camera Timestamp : 66 ms, Blob info : []
UNIX : 86.961985 ms, RTT : 0.000986, Camera Timestamp : 66 ms, Blob info : []
UNIX : 87.961912 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 88.959932 ms, RTT : 0.000984, Camera Timestamp : 66 ms, Blob info : []
UNIX : 89.958906 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 90.960979 ms, RTT : 0.000988, Camera Timestamp : 66 ms, Blob info : []
UNIX : 91.959953 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 92.960835 ms, RTT : 0.000986, Camera Timestamp : 66 ms, Blob info : []
UNIX : 93.960047 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 94.961882 ms, RTT : 0.000987, Camera Timestamp : 66 ms, Blob info : []
UNIX : 95.961809 ms, RTT : 0.000985, Camera Timestamp : 66 ms, Blob info : []
UNIX : 96.959829 ms, RTT : 0.000984, Camera Timestamp : 66 ms, Blob info : []
FRAME #3 : []
UNIX : 97.970009 ms, RTT : 0.000995, Camera Timestamp : 100 ms, Blob info : []
UNIX : 98.961830 ms, RTT : 0.000979, Camera Timestamp : 100 ms, Blob info : []
UNIX : 99.961042 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
UNIX : 100.960016 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 101.959944 ms, RTT : 0.000986, Camera Timestamp : 100 ms, Blob info : []
UNIX : 102.958918 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
UNIX : 103.957891 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 104.959965 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 105.958939 ms, RTT : 0.000930, Camera Timestamp : 100 ms, Blob info : []
UNIX : 106.966972 ms, RTT : 0.000992, Camera Timestamp : 100 ms, Blob info : []
UNIX : 107.962847 ms, RTT : 0.000980, Camera Timestamp : 100 ms, Blob info : []
UNIX : 108.960867 ms, RTT : 0.000983, Camera Timestamp : 100 ms, Blob info : []
UNIX : 109.961033 ms, RTT : 0.000986, Camera Timestamp : 100 ms, Blob info : []
UNIX : 110.961914 ms, RTT : 0.000986, Camera Timestamp : 100 ms, Blob info : []
UNIX : 111.958981 ms, RTT : 0.000982, Camera Timestamp : 100 ms, Blob info : []
UNIX : 112.957001 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
UNIX : 113.955021 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
UNIX : 114.962816 ms, RTT : 0.000993, Camera Timestamp : 100 ms, Blob info : []
