UNIX : 44.984102 ms, RTT : 0.000984, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
FRAME #2 : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 447, 2, 6), (656, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (558, 476, 3, 2), (556, 485, 0, 5), (675, 496, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (575, 546, 2, 5), (664, 543, 1, 4), (644, 558, 1, 5), (619, 562, 1, 4), (597, 560, 1, 4)]
UNIX : 46.060085 ms, RTT : 0.001061, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : [(612, 441, 1, 4), (633, 446, 0, 6), (588, 447, 2, 6), (656, 457, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6)]
UNIX : 47.019005 ms, RTT : 0.000934, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : [(556, 483, 0, 5), (675, 497, 2, 5), (554, 504, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4)]
UNIX : 48.007011 ms, RTT : 0.000962, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : [(575, 546, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (597, 561, 1, 4)]
UNIX : 48.988104 ms, RTT : 0.000958, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 49.985170 ms, RTT : 0.000981, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 50.985098 ms, RTT : 0.000984, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 51.984072 ms, RTT : 0.000983, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 52.985191 ms, RTT : 0.000985, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 53.985119 ms, RTT : 0.000985, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 54.987192 ms, RTT : 0.000986, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 55.985212 ms, RTT : 0.000982, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 56.985140 ms, RTT : 0.000984, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 57.986021 ms, RTT : 0.000985, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 58.986187 ms, RTT : 0.000984, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 59.981108 ms, RTT : 0.000979, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 61.970234 ms, RTT : 0.001973, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 62.987089 ms, RTT : 0.001001, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 63.985109 ms, RTT : 0.000983, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 64.988136 ms, RTT : 0.000939, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 65.985203 ms, RTT : 0.000980, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 66.987038 ms, RTT : 0.000986, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 67.984104 ms, RTT : 0.000981, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 68.984032 ms, RTT : 0.000984, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 69.986105 ms, RTT : 0.000985, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 70.985079 ms, RTT : 0.000983, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 71.979046 ms, RTT : 0.000978, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 72.981119 ms, RTT : 0.000986, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 73.979139 ms, RTT : 0.000982, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 74.988127 ms, RTT : 0.000993, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 75.984001 ms, RTT : 0.000980, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 76.984167 ms, RTT : 0.000984, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
UNIX : 77.985048 ms, RTT : 0.000985, Camera Timestamp (rel) : 67 ms, Camera Timestamp : 1406533167 ms, Blob info : []
FRAME #3 : [(612, 441, 1, 4), (633, 446, 0, 6), (588, 447, 2, 6), (656, 457, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6), (556, 483, 0, 5), (675, 497, 2, 5), (554, 504, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (597, 561, 1, 4)]
UNIX : 79.062223 ms, RTT : 0.001062, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : [(612, 441, 1, 4), (633, 445, 0, 6), (588, 447, 2, 6), (655, 458, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6)]
UNIX : 80.019236 ms, RTT : 0.000932, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : [(556, 484, 0, 5), (675, 496, 2, 5), (554, 504, 2, 5), (673, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4)]
UNIX : 81.008196 ms, RTT : 0.000962, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : [(575, 545, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (596, 560, 1, 4)]
UNIX : 81.986189 ms, RTT : 0.000955, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 82.988024 ms, RTT : 0.000986, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 83.982229 ms, RTT : 0.000978, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 84.985018 ms, RTT : 0.000988, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 85.984230 ms, RTT : 0.000983, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 86.985111 ms, RTT : 0.000985, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 87.985039 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 88.986158 ms, RTT : 0.000986, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 89.983225 ms, RTT : 0.000981, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 90.986013 ms, RTT : 0.000987, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 91.982126 ms, RTT : 0.000980, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 92.985153 ms, RTT : 0.000987, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 93.985081 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 94.986200 ms, RTT : 0.000986, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 95.984221 ms, RTT : 0.000982, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 96.984148 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 97.984076 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 98.985195 ms, RTT : 0.000985, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 99.983215 ms, RTT : 0.000982, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 100.985050 ms, RTT : 0.000985, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 101.983070 ms, RTT : 0.000981, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 102.986097 ms, RTT : 0.000987, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 103.986025 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 104.983091 ms, RTT : 0.000982, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 106.976032 ms, RTT : 0.001977, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 107.983112 ms, RTT : 0.000991, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 108.984232 ms, RTT : 0.000986, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 109.984159 ms, RTT : 0.000984, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
UNIX : 110.985041 ms, RTT : 0.000985, Camera Timestamp (rel) : 100 ms, Camera Timestamp : 1406533200 ms, Blob info : []
FRAME #4 : [(612, 441, 1, 4), (633, 445, 0, 6), (588, 447, 2, 6), (655, 458, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6), (556, 484, 0, 5), (675, 496, 2, 5), (554, 504, 2, 5), (673, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4), (575, 545, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (596, 560, 1, 4)]
UNIX : 112.049103 ms, RTT : 0.001048, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 446, 2, 5), (656, 457, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6)]
UNIX : 113.014221 ms, RTT : 0.000941, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : [(558, 476, 3, 2), (556, 485, 0, 5), (675, 497, 2, 5), (554, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4)]
UNIX : 114.013195 ms, RTT : 0.000973, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : [(663, 543, 1, 4), (575, 545, 2, 5), (644, 558, 1, 5), (620, 561, 1, 4), (596, 559, 1, 4)]
UNIX : 114.901066 ms, RTT : 0.000864, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 115.990162 ms, RTT : 0.001068, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 116.986036 ms, RTT : 0.000979, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 117.986202 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 118.984222 ms, RTT : 0.000982, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 119.984150 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 120.985031 ms, RTT : 0.000985, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 121.983051 ms, RTT : 0.000982, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 122.986078 ms, RTT : 0.000986, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 123.982191 ms, RTT : 0.000980, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 124.987125 ms, RTT : 0.000957, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 125.986099 ms, RTT : 0.000981, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 126.985073 ms, RTT : 0.000983, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 127.986193 ms, RTT : 0.000985, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 128.983021 ms, RTT : 0.000981, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 129.986048 ms, RTT : 0.000987, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 130.987167 ms, RTT : 0.000985, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 131.982088 ms, RTT : 0.000979, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 132.986069 ms, RTT : 0.000988, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 133.983135 ms, RTT : 0.000981, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 134.986162 ms, RTT : 0.000988, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 135.984182 ms, RTT : 0.000982, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 136.984110 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 137.985229 ms, RTT : 0.000985, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 138.985157 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 139.984131 ms, RTT : 0.000983, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 140.984058 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 141.985178 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 142.985106 ms, RTT : 0.000985, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 143.984079 ms, RTT : 0.000983, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
UNIX : 144.984007 ms, RTT : 0.000984, Camera Timestamp (rel) : 133 ms, Camera Timestamp : 1406533233 ms, Blob info : []
FRAME #5 : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 446, 2, 5), (656, 457, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6), (558, 476, 3, 2), (556, 485, 0, 5), (675, 497, 2, 5), (554, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4), (663, 543, 1, 4), (575, 545, 2, 5), (644, 558, 1, 5), (620, 561, 1, 4), (596, 559, 1, 4)]
UNIX : 146.051168 ms, RTT : 0.001051, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 446, 2, 5), (656, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6)]
UNIX : 147.016048 ms, RTT : 0.000941, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : [(558, 476, 3, 2), (556, 485, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 6), (563, 530, 1, 4)]
UNIX : 148.010015 ms, RTT : 0.000969, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : [(663, 543, 1, 4), (575, 546, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (597, 560, 1, 4)]
UNIX : 148.987055 ms, RTT : 0.000952, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 149.985075 ms, RTT : 0.000981, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 150.986195 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 151.985168 ms, RTT : 0.000983, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 152.985096 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 153.983116 ms, RTT : 0.000982, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 155.966043 ms, RTT : 0.001967, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 156.978130 ms, RTT : 0.000996, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 157.978058 ms, RTT : 0.000984, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 158.984184 ms, RTT : 0.000990, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 159.981012 ms, RTT : 0.000980, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 160.983086 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 161.981106 ms, RTT : 0.000983, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 162.982225 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 163.981199 ms, RTT : 0.000983, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 164.981127 ms, RTT : 0.000984, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 165.981054 ms, RTT : 0.000984, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 166.984081 ms, RTT : 0.000987, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 167.982101 ms, RTT : 0.000982, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 168.986082 ms, RTT : 0.000987, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 169.983149 ms, RTT : 0.000982, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 170.984030 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 171.983004 ms, RTT : 0.000982, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 172.983170 ms, RTT : 0.000984, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 173.984051 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 174.986124 ms, RTT : 0.000986, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 175.984144 ms, RTT : 0.000983, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 176.984072 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
UNIX : 177.985191 ms, RTT : 0.000985, Camera Timestamp (rel) : 167 ms, Camera Timestamp : 1406533267 ms, Blob info : []
FRAME #6 : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 446, 2, 5), (656, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (558, 476, 3, 2), (556, 485, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (597, 560, 1, 4)]
